"","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00421",459,450,394,97,0,115
"NBCAEPAK_00422",26,32,40,7,0,10
"NBCAEPAK_00423",65,70,50,34,0,59
"NBCAEPAK_00424",42,31,40,13,0,21
"NBCAEPAK_00425",27,31,25,13,0,14
"NBCAEPAK_00426",10,9,5,0,0,2
"NBCAEPAK_00427",0,2,4,2,0,4
"NBCAEPAK_00428",82,61,95,20,0,40
"NBCAEPAK_00429",6,16,8,3,0,7
"NBCAEPAK_00430",26,28,34,9,0,29
"NBCAEPAK_00431",52,74,79,131,0,185
"NBCAEPAK_00432",9,18,25,27,0,23
"NBCAEPAK_00433",42,43,71,43,0,92
"NBCAEPAK_00434",76,106,116,45,0,46
"NBCAEPAK_00435",309,311,329,158,0,246
"NBCAEPAK_00436",12,22,5,2,0,6
"NBCAEPAK_00437",360,446,646,206,0,438
"NBCAEPAK_00438",175,119,162,28,0,46
"NBCAEPAK_00439",123,146,130,43,0,59
"NBCAEPAK_00440",156,153,184,53,0,75
"NBCAEPAK_00441",42,60,60,28,0,24
"NBCAEPAK_00442",24,39,39,15,0,27
"NBCAEPAK_00443",28,54,55,18,0,28
"NBCAEPAK_00444",18,18,28,17,0,27
"NBCAEPAK_00445",388,495,504,307,0,395
"NBCAEPAK_00446",291,336,305,229,0,301
"NBCAEPAK_00447",159,179,159,140,0,164
"NBCAEPAK_00448",1504,1765,1625,3075,0,3150
"NBCAEPAK_00449",112,144,128,146,0,195
"NBCAEPAK_00450",29,40,57,26,0,22
"NBCAEPAK_00451",24,21,45,51,0,75
"NBCAEPAK_00452",63,88,90,39,0,32
"NBCAEPAK_00453",26,32,77,17,0,23
"NBCAEPAK_00454",263,341,325,113,0,153
"NBCAEPAK_00455",70,62,65,33,0,36
"NBCAEPAK_00456",9,24,23,14,0,16
"NBCAEPAK_00457",9,22,25,8,0,3
"NBCAEPAK_00458",126,105,94,4,0,23
"NBCAEPAK_00459",83,85,100,16,0,39
"NBCAEPAK_00460",117,100,152,28,0,69
"NBCAEPAK_00461",200,288,235,62,0,113
"NBCAEPAK_00462",5,11,4,1,0,3
"NBCAEPAK_00463",26,7,28,8,0,5
"NBCAEPAK_00464",40,47,50,11,0,24
"NBCAEPAK_00465",20,23,20,6,0,8
"NBCAEPAK_00466",6,5,4,0,0,5
"NBCAEPAK_00467",588,729,1165,39,0,140
"NBCAEPAK_00468",32,31,50,129,0,272
"NBCAEPAK_00469",138,149,131,3378,0,3548
"NBCAEPAK_00470",61,79,89,425,0,525
"NBCAEPAK_00471",3,2,3,24,0,20
"NBCAEPAK_00472",44,82,91,73,0,54
"NBCAEPAK_00473",19,18,13,9,0,6
"NBCAEPAK_00474",14,21,5,6,0,3
"NBCAEPAK_00475",243,244,349,35,0,42
"NBCAEPAK_00476",6,3,4,0,0,2
"NBCAEPAK_00477",144,202,164,24,0,40
"NBCAEPAK_00478",29,35,29,8,0,12
"NBCAEPAK_00479",20,16,24,2,0,3
"NBCAEPAK_00480",35,32,48,40,0,64
"NBCAEPAK_00481",26,20,35,28,0,41
"NBCAEPAK_00482",8,10,8,0,0,3
"NBCAEPAK_00483",3,2,2,2,0,2
"NBCAEPAK_00484",9,4,4,0,0,4
"NBCAEPAK_00485",2,0,2,4,0,3
"NBCAEPAK_00486",41,29,41,177,0,436
"NBCAEPAK_00487",7,8,3,35,0,69
"NBCAEPAK_00488",29,46,34,42,0,111
